Time_ms,X_px,Y_px,BallWidth_px,BallHeight_px
0,1045.787,751.431,22.775,22.775
0,1045.787,751.431,22.775,22.775
17,1045.787,751.431,22.775,22.775
17,1045.787,751.431,22.775,22.775
33,1045.787,751.431,22.775,22.775
33,1045.787,751.431,22.775,22.775
50,1045.787,751.431,22.775,22.775
50,1045.787,751.431,22.775,22.775
66,1045.787,751.431,22.775,22.775
66,1045.787,751.431,22.775,22.775
85,1045.787,751.431,22.775,22.775
85,1045.787,751.431,22.775,22.775
100,1045.787,751.431,22.775,22.775
100,1045.787,751.431,22.775,22.775
119,1045.787,751.431,22.775,22.775
119,1045.787,751.431,22.775,22.775
134,1045.787,751.431,22.775,22.775
134,1045.787,751.431,22.775,22.775
150,1045.787,751.431,22.775,22.775
150,1045.787,751.431,22.775,22.775
166,1045.787,751.431,22.775,22.775
166,1045.787,751.431,22.775,22.775
183,1045.787,751.431,22.775,22.775
183,1045.787,751.431,22.775,22.775
200,1045.787,751.431,22.775,22.775
200,1045.787,751.431,22.775,22.775
217,1045.787,751.431,22.775,22.775
217,1045.787,751.431,22.775,22.775
233,1045.787,751.431,22.775,22.775
233,1045.787,751.431,22.775,22.775
250,1045.787,751.431,22.775,22.775
250,1045.787,751.431,22.775,22.775
266,1045.787,751.431,22.775,22.775
266,1045.787,751.431,22.775,22.775
284,1045.787,751.431,22.775,22.775
284,1045.787,751.431,22.775,22.775
300,1045.787,751.431,22.775,22.775
300,1045.787,751.431,22.775,22.775
317,1045.787,751.431,22.775,22.775
317,1045.787,751.431,22.775,22.775
333,1045.787,751.431,22.775,22.775
333,1045.787,751.431,22.775,22.775
350,1045.787,751.431,22.775,22.775
350,1045.787,751.431,22.775,22.775
366,1045.787,751.431,22.775,22.775
366,1045.787,751.431,22.775,22.775
383,1045.787,751.431,22.775,22.775
383,1045.787,751.431,22.775,22.775
400,1045.787,751.431,22.775,22.775
400,1045.787,751.431,22.775,22.775
416,1045.787,751.431,22.775,22.775
416,1045.787,751.431,22.775,22.775
432,1045.787,751.431,22.775,22.775
432,1045.787,751.431,22.775,22.775
450,1045.787,751.431,22.775,22.775
450,1045.787,751.431,22.775,22.775
466,1045.787,751.431,22.775,22.775
466,1045.787,751.431,22.775,22.775
484,1045.787,751.431,22.775,22.775
485,1045.787,751.431,22.775,22.775
499,1045.787,751.431,22.775,22.775
499,1045.787,751.431,22.775,22.775
517,1045.787,751.431,22.775,22.775
517,1045.787,751.431,22.775,22.775
533,1045.787,751.431,22.775,22.775
533,1045.787,751.431,22.775,22.775
551,1045.787,751.431,22.775,22.775
551,1045.787,751.431,22.775,22.775
566,1045.787,751.431,22.775,22.775
566,1045.787,751.431,22.775,22.775
584,1045.787,751.431,22.775,22.775
584,1045.787,751.431,22.775,22.775
599,1045.787,751.431,22.775,22.775
599,1045.787,751.431,22.775,22.775
619,1045.787,751.431,22.775,22.775
619,1045.787,751.431,22.775,22.775
632,1045.787,751.431,22.775,22.775
632,1045.787,751.431,22.775,22.775
651,1045.787,751.431,22.775,22.775
651,1045.787,751.431,22.775,22.775
666,1045.787,751.431,22.775,22.775
666,1045.787,751.431,22.775,22.775
684,1045.787,751.431,22.775,22.775
684,1045.787,751.431,22.775,22.775
699,1045.787,751.431,22.775,22.775
699,1045.787,751.431,22.775,22.775
720,1045.787,751.431,22.775,22.775
720,1045.787,751.431,22.775,22.775
733,1045.787,751.431,22.775,22.775
733,1045.787,751.431,22.775,22.775
752,1045.787,751.431,22.775,22.775
752,1045.787,751.431,22.775,22.775
766,1045.787,751.431,22.775,22.775
766,1045.787,751.431,22.775,22.775
784,1045.787,751.431,22.775,22.775
784,1045.787,751.431,22.775,22.775
799,1045.787,751.431,22.775,22.775
799,1045.787,751.431,22.775,22.775
817,1045.787,751.431,22.775,22.775
817,1045.787,751.431,22.775,22.775
832,1045.787,751.431,22.775,22.775
832,1045.787,751.431,22.775,22.775
850,1045.787,751.431,22.775,22.775
850,1045.787,751.431,22.775,22.775
866,1045.787,751.431,22.775,22.775
866,1045.787,751.431,22.775,22.775
884,1045.787,751.431,22.775,22.775
884,1045.787,751.431,22.775,22.775
899,1045.787,751.431,22.775,22.775
899,1045.787,751.431,22.775,22.775
917,1045.787,751.431,22.775,22.775
917,1045.787,751.431,22.775,22.775
933,1045.787,751.431,22.775,22.775
933,1045.787,751.431,22.775,22.775
950,1045.787,751.431,22.775,22.775
950,1045.787,751.431,22.775,22.775
966,1045.787,751.431,22.775,22.775
966,1045.787,751.431,22.775,22.775
983,1045.787,751.431,22.775,22.775
983,1045.787,751.431,22.775,22.775
1001,1045.787,751.431,22.775,22.775
1001,1045.787,751.431,22.775,22.775
1017,1045.787,751.431,22.775,22.775
1018,1045.787,751.431,22.775,22.775
1033,1045.787,751.431,22.775,22.775
1033,1045.787,751.431,22.775,22.775
1051,1045.750,751.431,22.775,22.775
1051,1045.750,751.431,22.775,22.775
1066,1045.676,751.431,22.775,22.775
1066,1045.676,751.431,22.775,22.775
1085,1045.570,751.431,22.775,22.775
1085,1045.570,751.431,22.775,22.775
1100,1045.423,751.431,22.775,22.775
1100,1045.423,751.431,22.775,22.775
1119,1045.236,751.431,22.775,22.775
1119,1045.236,751.431,22.775,22.775
1134,1045.015,751.431,22.775,22.775
1134,1045.015,751.431,22.775,22.775
1150,1044.787,751.431,22.775,22.775
1150,1044.787,751.431,22.775,22.775
1165,1044.492,751.431,22.775,22.775
1165,1044.492,751.431,22.775,22.775
1183,1044.161,751.431,22.775,22.775
1183,1044.161,751.431,22.775,22.775
1199,1043.814,751.431,22.775,22.775
1199,1043.814,751.431,22.775,22.775
1216,1043.411,751.431,22.775,22.775
1216,1043.411,751.431,22.775,22.775
1233,1042.969,751.431,22.775,22.775
1233,1042.969,751.431,22.775,22.775
1250,1042.520,751.431,22.775,22.775
1250,1042.520,751.431,22.775,22.775
1266,1042.004,751.431,22.775,22.775
1266,1042.004,751.431,22.775,22.775
1284,1041.452,751.431,22.775,22.775
1284,1041.452,751.431,22.775,22.775
1299,1040.898,751.431,22.775,22.775
1299,1040.898,751.431,22.775,22.775
1317,1040.274,751.431,22.775,22.775
1317,1040.274,751.431,22.775,22.775
1332,1039.611,751.431,22.775,22.775
1332,1039.611,751.431,22.775,22.775
1349,1038.954,751.431,22.775,22.775
1349,1038.954,751.431,22.775,22.775
1366,1038.218,751.431,22.775,22.775
1366,1038.218,751.431,22.775,22.775
1383,1037.446,751.431,22.775,22.775
1383,1037.446,751.431,22.775,22.775
1399,1036.684,751.431,22.775,22.775
1399,1036.684,751.431,22.775,22.775
1416,1035.840,751.431,22.775,22.775
1416,1035.840,751.431,22.775,22.775
1432,1034.957,751.431,22.775,22.775
1432,1034.957,751.431,22.775,22.775
1449,1034.092,751.431,22.775,22.775
1449,1034.092,751.431,22.775,22.775
1465,1033.136,751.431,22.775,22.775
1465,1033.136,751.431,22.775,22.775
1483,1032.143,751.431,22.775,22.775
1483,1032.143,751.431,22.775,22.775
1500,1031.113,751.431,22.775,22.775
1500,1031.113,751.431,22.775,22.775
1516,1030.109,751.431,22.775,22.775
1516,1030.109,751.431,22.775,22.775
1532,1029.006,751.431,22.775,22.775
1532,1029.006,751.431,22.775,22.775
